Open,High,Low,Close,Volume,Close Time
29236.48,29247.69,29236.48,29247.25,22.17889,1683260519999.0
29247.25,29265.47,29247.24,29264.01,44.03715,1683260579999.0
29264.02,29264.02,29236.49,29236.49,31.81087,1683260639999.0
29236.49,29237.09,29236.49,29237.08,10.29068,1683260699999.0
29237.09,29237.09,29231.95,29231.96,10.54787,1683260759999.0
29231.95,29243.13,29231.95,29243.12,15.18068,1683260819999.0
29243.12,29245.92,29230.21,29230.22,40.37153,1683260879999.0
29230.22,29252.18,29230.21,29252.0,59.11284,1683260939999.0
29252.0,29254.63,29240.3,29240.31,74.71196,1683260999999.0
29240.31,29257.54,29240.3,29253.29,34.31179,1683261059999.0
29253.29,29270.86,29247.95,29270.85,36.68523,1683261119999.0
29270.86,29270.86,29262.07,29268.35,43.05621,1683261179999.0
29268.35,29274.76,29267.44,29273.49,41.12364,1683261239999.0
29273.49,29275.0,29261.74,29261.74,34.73411,1683261299999.0
29261.75,29274.04,29260.0,29274.01,49.73338,1683261359999.0
29274.01,29274.28,29263.91,29265.88,65.39649,1683261419999.0
29265.88,29275.0,29265.87,29272.03,53.55578,1683261479999.0
29272.03,29275.0,29267.45,29267.95,44.05432,1683261539999.0
29267.96,29267.96,29246.28,29246.28,33.17725,1683261599999.0
29246.28,29246.29,29237.49,29237.49,13.44364,1683261659999.0
29237.49,29241.83,29237.49,29241.83,10.75473,1683261719999.0
29241.83,29241.83,29230.54,29230.54,10.58047,1683261779999.0
29230.55,29233.89,29230.53,29233.89,9.6446,1683261839999.0
29233.89,29248.09,29233.88,29233.89,50.75396,1683261899999.0
29233.89,29243.1,29230.73,29243.1,63.58483,1683261959999.0
29243.09,29244.48,29232.71,29239.98,152.65784,1683262019999.0
29239.99,29271.83,29239.98,29271.83,132.89341,1683262079999.0
29271.82,29275.0,29260.0,29274.99,116.79869,1683262139999.0
29274.99,29275.0,29257.04,29257.05,67.60929,1683262199999.0
29257.04,29262.92,29256.95,29262.92,13.0653,1683262259999.0
29262.91,29262.92,29254.0,29254.01,15.74183,1683262319999.0
29254.0,29254.01,29254.0,29254.0,6.35666,1683262379999.0
29254.0,29254.01,29244.23,29244.24,13.16093,1683262439999.0
